start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1985-10-02,2000-10-02,15.000684462696784,181,181000,41248815.51222026,41067815.51222026,22689.400835480807,43.60680558279893,5.5055981052476755,1254.6928205955294
1985-11-02,2000-11-02,15.000684462696784,181,181000,31652244.85649539,31471244.85649539,17387.428097511267,41.093900832747956,5.684649748067852,994.0990372887211
1985-12-02,2000-12-02,15.000684462696784,180,180000,12843380.614474118,12663380.614474118,7035.211452485621,32.909131047965246,5.819363301466737,415.22387674799995
1986-01-02,2001-01-02,15.000684462696784,181,181000,6166952.213115313,5985952.213115313,3307.155918848239,26.518724758571246,5.991051949214294,204.12448108892764
1986-02-02,2001-02-02,15.000684462696784,181,181000,8196868.386292787,8015868.386292787,4428.656567012589,28.94156047194123,6.118707804583789,277.0952628085956
1986-03-02,2001-03-02,15.000684462696784,181,181000,3278083.9882007795,3097083.9882007795,1711.0961260777788,21.299480315969554,6.242742917099107,113.06207513257684
1986-04-02,2001-04-02,15.000684462696784,181,181000,1487652.6809621486,1306652.6809621486,721.9075585426235,15.07617432916659,6.354778324713455,52.23040337944819
1986-05-02,2001-05-02,15.000684462696784,181,181000,2727815.367234431,2546815.367234431,1407.0803133891886,19.822628599286652,6.452052468420193,97.23761256110193
1986-06-02,2001-06-02,15.000684462696784,180,180000,2088429.636328364,1908429.636328364,1060.238686849091,17.751536978191208,6.507641861575354,75.50417847958363
1986-07-02,2001-07-02,15.000684462696784,181,181000,1960617.6555314192,1779617.6555314192,983.2141743267509,17.213546938759762,6.6199770444230825,71.70852968236794
1986-08-02,2001-08-02,15.000684462696784,181,181000,1610368.222215674,1429368.222215674,789.7062001191568,15.685844238943858,6.697940473879782,59.591991676398855
1986-09-02,2001-09-02,15.000684462696784,180,180000,894250.2069036748,714250.2069036748,396.8056705020415,11.27825803645588,6.791154711580376,33.73884169969787
1986-10-02,2001-10-02,15.000684462696784,181,181000,407817.0695055812,226817.06950558122,125.3132980693819,5.564537302767114,6.921869528494543,15.59589252271063
1986-11-02,2001-11-02,15.000684462696784,181,181000,685356.6435875702,504356.6435875702,278.65007933014925,9.28170055206543,7.068437810832039,26.764645378117784
1986-12-02,2001-12-02,15.000684462696784,180,180000,917643.0951374191,737643.0951374191,409.8017195207884,11.469982909341226,7.170935771344014,36.557553868043094
1987-01-02,2002-01-02,15.000684462696784,181,181000,893398.517741487,712398.517741487,393.59034129363926,11.230101711281314,7.330912048674101,36.184673800987014
1987-02-02,2002-02-02,15.000684462696784,180,180000,727194.0519595888,547194.0519595888,303.99669553310486,9.754754579160995,7.45067986462193,30.10050044782301
1987-03-02,2002-03-02,15.000684462696784,180,180000,573955.210322838,393955.21032283804,218.86400573491,8.036913389396606,7.538649643390694,24.038040231236074
1987-04-02,2002-04-02,15.000684462696784,181,181000,523816.92762003094,342816.92762003094,189.40161746963037,7.340923261369858,7.639687301624421,22.10937862052303
1987-05-02,2002-05-02,15.000684462696784,181,181000,330681.35507724603,149681.35507724603,82.69688125814699,4.099332817736445,7.69511054337537,14.05872697211365
1987-06-02,2002-06-02,15.000684462696784,180,180000,294323.34965075075,114323.34965075075,63.51297202819486,3.332316275220326,7.734511786098953,12.646930093321417
