start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1985-10-02,2005-10-02,20.0,240,240000,997649.6938991989,757649.6938991989,315.6873724579996,7.383694489141379,385.30399052271355,1601.6600341796875
1985-11-02,2005-11-02,20.0,241,241000,982509.7974499242,741509.7974499242,307.6804138796366,7.279315139837972,391.79955295426174,1597.2900390625
1985-12-02,2005-12-02,20.0,241,241000,1037556.7164557321,796556.7164557321,330.5214591102623,7.572123100281902,396.98369022488475,1709.0999755859375
1986-01-02,2006-01-02,20.0,240,240000,985622.2783631224,745622.2783631224,310.67594931796765,7.3185913357995735,400.6078159444569,1645.199951171875
1986-02-02,2006-02-02,20.0,241,241000,999087.3908118899,758087.3908118899,314.5590833244357,7.369102231984059,406.6416796401394,1685.77001953125
1986-03-02,2006-03-02,20.0,241,241000,992217.0477628896,751217.0477628896,311.70831857381313,7.33206428648554,411.40291630838294,1693.780029296875
1986-04-02,2006-04-02,20.0,240,240000,985813.1173594265,745813.1173594265,310.7554655664277,7.319630206842076,414.7625964831308,1703.6600341796875
1986-05-02,2006-05-02,20.0,241,241000,968510.5708439538,727510.5708439538,301.8716061593169,7.202364916939619,420.5149176528252,1689.9300537109375
1986-06-02,2006-06-02,20.0,241,241000,914958.994025402,673958.994025402,279.651034865312,6.897913731360705,424.83751558487586,1612.9000244140625
1986-07-02,2006-07-02,20.0,240,240000,883867.8518051755,643867.8518051755,268.2782715854898,6.735479341095463,427.7281887109884,1575.22998046875
1986-08-02,2006-08-02,20.0,241,241000,834719.7565791048,593719.7565791048,246.35674546850822,6.408466030314908,433.21806204151954,1500.47998046875
1986-09-02,2006-09-02,20.0,240,240000,873072.831672821,633072.831672821,263.78034653034206,6.669918093041627,436.93123772714614,1589.469970703125
1986-10-02,2006-10-02,20.0,241,241000,887963.5642798612,646963.5642798612,268.44961173438224,6.737961707560736,443.156949170801,1632.81005859375
1986-11-02,2006-11-02,20.0,241,241000,918661.0766907684,677661.0766907684,281.1871687513562,6.91949865021777,448.64312971164986,1710.1700439453125
1986-12-02,2006-12-02,20.0,240,240000,941292.3154384329,701292.3154384329,292.20513143268033,7.071938026087676,452.59989042797014,1775.1199951171875
1987-01-02,2007-01-02,20.0,240,240000,920804.9429108829,680804.9429108829,283.66872621286785,6.954194186947804,457.92109295853726,1756.9000244140625
1987-02-02,2007-02-02,20.0,241,241000,931849.2681450184,690849.2681450184,286.6594473630782,6.99572634046659,465.0423045772228,1798.1300048828125
1987-03-02,2007-03-02,20.0,241,241000,885349.7881548398,644349.7881548398,267.3650573256597,6.722230208230928,469.84055638334536,1726.030029296875
1987-04-02,2007-04-02,20.0,241,241000,900817.9252780741,659817.9252780741,273.78337148467807,6.81469355195401,474.42719268408626,1773.3299560546875
1987-05-02,2007-05-02,20.0,241,241000,950876.9594762188,709876.9594762188,294.5547549693854,7.103919456305241,478.95252982450546,1889.72998046875
1987-06-02,2007-06-02,20.0,240,240000,959922.5846208271,719922.5846208271,299.9677435920113,7.176914092549391,482.10387979000484,1928.260009765625
1987-07-02,2007-07-02,20.0,241,241000,964215.2594944004,723215.2594944004,300.0893192922823,7.178542752315176,488.4209352486162,1954.1199951171875
1987-08-02,2007-08-02,20.0,241,241000,961043.6213908013,720043.6213908013,298.7732868841499,7.160887783282877,493.1624159060751,1966.5999755859375
1987-09-02,2007-09-02,20.0,240,240000,961672.0962922527,721672.0962922527,300.69670678843863,7.18667243814779,496.3180247744755,1988.72998046875
1987-10-02,2007-10-02,20.0,241,241000,1014924.0756153187,773924.0756153187,321.1303218320825,7.453564233794374,502.4311437307986,2115.889892578125
1987-11-02,2007-11-02,20.0,241,241000,1052481.6263793078,811481.6263793078,336.71436779224393,7.648968816686752,506.93548705845745,2213.860107421875
1987-12-02,2007-12-02,20.0,240,240000,979443.5422332679,739443.5422332679,308.1014759305283,7.2848524554848915,511.9070184426092,2089.10009765625
1988-01-02,2008-01-02,20.0,241,241000,948109.6657786557,707109.6657786557,293.4065003230936,7.088312889484927,521.0157837387362,2049.7099609375
1988-02-02,2008-02-02,20.0,240,240000,846704.1907059352,606704.1907059352,252.79341279413967,6.506477971772173,525.8800057624172,1855.27001953125
1988-03-02,2008-03-02,20.0,240,240000,786478.6828599446,546478.6828599446,227.69945119164362,6.114268769344489,532.5825274301694,1745.27001953125
1988-04-02,2008-04-02,20.0,241,241000,824641.8948694315,583641.8948694315,242.1750601117973,6.343859414604713,540.3082411161337,1848.800048828125
1988-05-02,2008-05-02,20.0,241,241000,873434.1401263028,632434.1401263028,262.42080503166096,6.649949965032498,546.8422252812038,1981.8699951171875
1988-06-02,2008-06-02,20.0,241,241000,874084.2717113686,633084.2717113686,262.69056917484176,6.653917751210359,553.320140191701,2006.8399658203125
1988-07-02,2008-07-02,20.0,241,241000,781736.0629924382,540736.0629924382,224.3718103703063,6.060130031287558,559.897613279257,1816.1500244140625
