start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1985-10-02,2005-10-02,20.0,240,240000,535069.1792702208,295069.1792702208,122.94549136259201,4.0902219797394945,6.3057668656001935,14.058422922691866
1985-11-02,2005-11-02,20.0,241,241000,513918.9323996379,272918.9323996379,113.24437029030618,3.858938306428006,6.484276254485272,13.82735406676097
1985-12-02,2005-12-02,20.0,241,241000,612561.6931056756,371561.69310567563,154.17497639239653,4.774751530745602,6.635973215100056,16.866983352886326
1986-01-02,2006-01-02,20.0,240,240000,533923.777556428,293923.777556428,122.46824064851165,4.07906954170123,6.743388713294016,15.001898230555504
1986-02-02,2006-02-02,20.0,241,241000,561052.6416742705,320052.6416742705,132.8019260059214,4.3156163531600455,6.869676310558652,15.992738761353062
1986-03-02,2006-03-02,20.0,241,241000,557110.6285736742,316110.62857367424,131.1662359226864,4.278846879202436,6.975976664318846,16.126102673750854
1986-04-02,2006-04-02,20.0,240,240000,555790.1410999841,315790.14109998406,131.5792254583267,4.288153940947992,7.055331842285248,16.338682833878867
1986-05-02,2006-05-02,20.0,241,241000,535074.8578925164,294074.8578925164,122.02276261100266,4.06863904220629,7.1511264853692635,15.877128580623937
1986-06-02,2006-06-02,20.0,241,241000,456506.08883403457,215506.08883403457,89.42161362408073,3.2455819623683935,7.219717674749333,13.675705718613147
1986-07-02,2006-07-02,20.0,240,240000,415877.7944624425,175877.7944624425,73.28241435935105,2.78688967159495,7.264962766235956,12.588902883641563
1986-08-02,2006-08-02,20.0,241,241000,353697.91971257597,112697.91971257597,46.76262228737592,1.9367476700717923,7.331695879457264,10.76018913082697
1986-09-02,2006-09-02,20.0,240,240000,411277.11487677327,171277.11487677327,71.36546453198886,2.7297343641582428,7.418212025747045,12.712253497889286
1986-10-02,2006-10-02,20.0,241,241000,438834.0036290694,197834.00362906943,82.08879818633586,3.041971982247671,7.519596361279461,13.692342642717213
1986-11-02,2006-11-02,20.0,241,241000,492900.23980924056,251900.23980924056,104.52292108267243,3.6423136470001616,7.642546720514552,15.630759797904348
1986-12-02,2006-12-02,20.0,240,240000,539779.7008283839,299779.7008283839,124.90820867849331,4.135849773656108,7.734817474382358,17.39623942618444
1987-01-02,2007-01-02,20.0,240,240000,514656.32864259783,274656.32864259783,114.44013693441578,3.8879804481646962,7.839088625410477,16.810152382740437
