start_date,end_date,years,num_investments,total_invested,final_value,total_return,total_return_pct,cagr,avg_purchase_price,final_price
1999-03-11,2019-03-11,20.0,241,241000,4021739.799130761,3780739.799130761,1568.7717008841332,15.111800343534787,0.02718865845081806,0.4537166380772942
1999-06-11,2019-06-11,20.0,241,241000,4567333.137872198,4326333.137872198,1795.1589783702066,15.846330647238883,0.02717886702014818,0.5150827385516372
1999-09-11,2019-09-11,20.0,241,241000,5161810.047471251,4920810.047471251,2041.8298952162868,16.557238317721755,0.02717068636238422,0.5819498832449999
1999-12-11,2019-12-11,20.0,241,241000,6196850.150280541,5955850.150280541,2471.3071162989795,17.627183315641393,0.027161470764210473,0.6984048306516107
2000-03-11,2020-03-11,20.0,241,241000,4972009.653211264,4731009.653211264,1963.0745449009391,16.33911239179038,0.027151892787085775,0.5601637885491608
2000-06-11,2020-06-11,20.0,241,241000,6842731.68004825,6601731.68004825,2739.3077510573653,18.21174367149714,0.027140314782162795,0.770597061271316
2000-09-11,2020-09-11,20.0,241,241000,10077434.202337604,9836434.202337604,4081.5079677749395,20.522087827225466,0.027135449363407765,1.1346709772224297
2000-12-11,2020-12-11,20.0,241,241000,13337892.172985002,13096892.172985002,5434.395092524897,22.223160013887554,0.027135764585531467,1.5018004235407625
2001-03-11,2021-03-11,20.0,241,241000,15054615.21962179,14813615.21962179,6146.728306897008,22.96531619179629,0.027149766955465393,1.695972177663627
2001-06-11,2021-06-11,20.0,241,241000,18125006.191400573,17884006.191400573,7420.7494570126855,24.111794797225073,0.027226286637885917,2.0476208044835227
2001-09-11,2021-09-11,20.0,240,240000,24102505.768700194,23862505.768700194,9942.710736958414,25.9193716035802,0.027214839443941364,2.7331076028826926
2001-12-11,2021-12-11,20.0,240,240000,27597485.606968503,27357485.606968503,11398.952336236876,26.774794048834096,0.027447311696102972,3.15615328951325
2002-03-11,2022-03-11,20.0,241,241000,13932197.217801686,13691197.217801686,5680.994696183272,22.489857258856105,0.027737674462934906,1.6035134895468488
2002-06-11,2022-06-11,20.0,240,240000,8797199.22857243,8557199.22857243,3565.499678571846,19.73101365147474,0.027952098111205793,1.0245840664203354
2002-09-11,2022-09-11,20.0,240,240000,9624521.993857259,9384521.993857259,3910.2174974405243,20.270300584669187,0.02893017851678917,1.160163080921059
2002-12-11,2022-12-11,20.0,240,240000,6545545.535027679,6305545.535027679,2627.310639594866,17.97411560643376,0.0304713457636055,0.8310482550385523
2003-03-11,2023-03-11,20.0,240,240000,6458515.413115551,6218515.413115551,2591.048088798146,17.895186263130668,0.031900746795060386,0.8584644369408083
2003-06-11,2023-06-11,20.0,240,240000,11161914.726011952,10921914.726011952,4550.797802504981,21.164772979508896,0.03351897219827142,1.5588996224194624
2003-09-11,2023-09-11,20.0,241,241000,12777835.558956046,12536835.558956046,5202.006455998359,21.961290928273524,0.0347309935196426,1.8414395186438224
2003-12-11,2023-12-11,20.0,241,241000,14141137.673788574,13900137.673788574,5767.691980825134,22.58105798744996,0.035570005243871765,2.0871383452737433
2004-03-11,2024-03-11,20.0,241,241000,18494803.55531329,18253803.55531329,7574.192346603024,24.237194022649035,0.036314843251075514,2.7868709214549225
2004-06-11,2024-06-11,20.0,241,241000,21788568.47519433,21547568.47519433,8940.899782238312,25.259473744356885,0.03720557138304578,3.363718422150306
2004-09-11,2024-09-11,20.0,241,241000,20479326.024226625,20238326.024226625,8397.645653206067,24.871960682730567,0.0382469931040609,3.250093946989256
2004-12-11,2024-12-11,20.0,241,241000,28415096.180165477,28174096.180165477,11690.496340317626,26.93360205054789,0.03922880065523162,4.625270305605581
2005-03-11,2025-03-11,20.0,241,241000,18975294.549382854,18734294.549382854,7773.566203063425,24.396618265162573,0.04008829014275101,3.15637806406565
2005-06-11,2025-06-11,20.0,241,241000,24195228.401046924,23954228.401046924,9939.51385935557,25.91736711639676,0.04117066211329291,4.133334328852494
2005-09-11,2025-09-11,20.0,241,241000,30883524.65957889,30642524.65957889,12714.740522646842,27.463397661767686,0.04216465007962594,5.40329049998607
2005-12-11,2025-12-11,20.0,241,241000,36327768.01715452,36086768.01715452,14973.762662719719,28.502354055060962,0.0431413667409737,6.503027231987876
